Date,Price,Volume
2012-06-20,6.8,406421.8574
2012-06-21,6.79962,399950.888882
2012-06-22,6.8,0.0
2012-06-23,6.5915,210829.486988
2012-06-24,6.44999,359578.59323
2012-06-25,6.56,0.0
2012-06-26,6.55555,228544.039315
2012-06-27,6.66897,333193.569777
2012-06-28,6.58,0.0
2012-06-29,6.693,155703.311121
2012-06-30,6.694,156167.13193
2012-07-01,6.69,0.0
2012-07-02,6.765,477182.244209
2012-07-03,6.55,250947.418686
2012-07-04,6.71,0.0
2012-07-05,6.73449,242774.801427
2012-07-06,6.75,198336.565287
2012-07-07,6.74,0.0
2012-07-08,6.896,227316.582666
2012-07-09,7.239,588869.641088
2012-07-10,6.98,0.0
2012-07-11,7.32,251974.99431
2012-07-12,7.9,748966.056105
2012-07-13,7.46,0.0
2012-07-14,7.64877,145251.824347
2012-07-15,8.2899,608643.124166
2012-07-16,7.8,0.0
2012-07-17,9.39899,1061472.88351
2012-07-18,9.27491,433033.304433
2012-07-19,9.37,0.0
2012-07-20,9.7,1350688.65446
2012-07-21,9.0,300378.076041
2012-07-22,9.53,0.0
2012-07-23,8.96,398218.93949
2012-07-24,8.76998,350256.933479
2012-07-25,8.91,0.0
2012-07-26,8.95,237103.603393
2012-07-27,8.93,194334.796007
2012-07-28,8.95,0.0
2012-07-29,9.15,405296.121057
2012-07-30,9.44,695638.695739
2012-07-31,9.22,0.0
2012-08-01,9.8,528962.919603
2012-08-02,11.1188,1553677.20546
2012-08-03,10.12,0.0
2012-08-04,11.1869,575889.60323
2012-08-05,11.29112,709410.202492
2012-08-06,11.21,0.0
2012-08-07,11.14999,461723.277451
2012-08-08,12.0,915898.372534
2012-08-09,11.35,0.0
2012-08-10,11.59788,367448.180524
2012-08-11,11.765,289226.208641
2012-08-12,11.64,0.0
2012-08-13,12.17887,743549.812671
2012-08-14,12.67,661329.759446
2012-08-15,12.3,0.0
2012-08-16,15.4,1444851.12853
2012-08-17,15.26014,3208627.49691
2012-08-18,15.37,0.0
2012-08-19,10.5,2746175.55591
2012-08-20,10.29999,730786.46907
2012-08-21,10.45,0.0
2012-08-22,10.25,641114.69518
2012-08-23,10.25,471155.051966
2012-08-24,10.25,0.0
2012-08-25,10.61913,339698.647247
2012-08-26,12.14999,1638081.55274
2012-08-27,10.99,0.0
2012-08-28,11.20999,689356.925143
2012-08-29,10.937,423186.059598
2012-08-30,11.14,0.0
2012-08-31,10.42,601947.78151
2012-09-01,10.18999,199716.417663
2012-09-02,10.36,0.0
2012-09-03,10.5934,356674.559583
2012-09-04,10.57888,282718.707795
2012-09-05,10.59,0.0
2012-09-06,11.29,526861.52831
2012-09-07,11.21,339342.782875
2012-09-08,11.27,0.0
2012-09-09,11.127,407288.704718
2012-09-10,11.19401,419908.004156
2012-09-11,11.14,0.0
2012-09-12,11.399,332370.471486
2012-09-13,11.75,472220.133219
2012-09-14,11.48,0.0
2012-09-15,11.99,377179.016987
2012-09-16,11.9625,268742.536562
2012-09-17,11.98,0.0
2012-09-18,12.61,583585.795057
2012-09-19,12.68666,382997.57666
2012-09-20,12.63,0.0
2012-09-21,12.4433,215428.568342
2012-09-22,12.2749,446867.44084
2012-09-23,12.4,0.0
2012-09-24,12.22909,311960.865388
2012-09-25,12.28,270621.574509
2012-09-26,12.24,0.0
2012-09-27,12.444,323116.947437
2012-09-28,12.49,258006.809953
2012-09-29,12.46,0.0
2012-09-30,12.481,235193.565784
2012-10-01,12.88,600613.753164
2012-10-02,12.58,0.0
2012-10-03,13.0899,420087.957022
2012-10-04,12.99,518737.52783
2012-10-05,13.07,0.0
2012-10-06,12.7369,801645.479648
2012-10-07,12.08,1197548.75805
2012-10-08,12.58,0.0
